
2024/06/17 (21:47:47) | ===> btop++ v.1.2.13
2024/06/17 (21:47:47) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/06/17 (21:48:02) | ===> btop++ v.1.2.13
2024/06/17 (21:48:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (09:40:58) | ===> btop++ v.1.2.13
2024/06/19 (09:40:58) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (10:22:57) | ===> btop++ v.1.2.13
2024/06/19 (10:22:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (10:35:33) | ===> btop++ v.1.2.13
2024/06/19 (10:35:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (14:25:22) | ===> btop++ v.1.2.13
2024/06/19 (14:25:22) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (14:41:04) | ===> btop++ v.1.2.13
2024/06/19 (14:41:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/06/19 (15:30:45) | ===> btop++ v.1.2.13
2024/06/19 (15:30:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/07/01 (17:13:31) | ===> btop++ v.1.2.13
2024/07/01 (17:13:31) | INFO: Logger set to INFO
2024/07/01 (17:13:32) | INFO: Logger set to DEBUG
